,X,idx,beta,pval,cilb,ciub,i2,tau2,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random
1869,P2RY14,29974,-1.3332522408924,4.00703047056978e-07,-1.848801757987,-0.817702723797792,97.7109551340935,1.43730474540213,0.942010541420605,0.919154171953032,0.965435274326194,1.87139385944493e-06,0.954161625289248,0.912283074832236,0.997962619598134,0.0404597515230057
1944,PDK2,8302,-0.76611431954605,6.74675868626143e-17,-0.945911637359186,-0.586317001732915,95.2315380260598,0.167288487006707,0.882985424018067,0.83250521039871,0.936526581803571,3.42393922042349e-05,0.887981943140633,0.804686318066259,0.979899761734096,0.0180788278179785
1979,PIK3R1,21810,-0.75630248712932,1.92468165768347e-07,-1.04101093894419,-0.471594035314451,97.8078751456503,0.455519966742715,0.902206453373852,0.862715398705911,0.943505222846844,6.59102773657843e-06,0.902371329595091,0.851099857105287,0.956731468907391,0.000577429643561547
2061,PRKCB,21716,-1.38393697052172,1.30618493539257e-06,-1.94450172171028,-0.823372219333164,98.0156476988546,1.69743981784595,0.934115141147804,0.908493295910204,0.960459588254162,1.56292696780304e-06,0.936327040068992,0.897492273481061,0.976842198946084,0.00233415490245443
2146,PTGDR2,8738,-1.16295531818836,5.60302555228946e-06,-1.66492191431287,-0.660988722063855,97.1638331416512,1.38682692672499,0.935923742353301,0.914992151462388,0.957334169588903,9.56440377349835e-09,0.93262897029255,0.907491429574382,0.958462821667508,5.63952415323988e-07
2151,PTGER4,14580,-0.906588854863501,6.34653997923362e-06,-1.30018289448881,-0.512994815238189,98.1783525250162,0.878692348059659,0.941012440399399,0.907572945785435,0.975684012065935,0.000989784561289701,0.943414391981448,0.901307309561295,0.98748862408643,0.0124048691452296
2236,RORA,12881,-0.954873506746626,3.9537027765516e-13,-1.21276002270734,-0.696986990785915,96.3429943236446,0.352373520617297,0.919050986967879,0.881938200103394,0.957725514721563,5.97460775656066e-05,0.912005727359024,0.847540056387172,0.981374792220677,0.0137925064609562
2311,SELP,30645,-1.97420497790029,3.65105989070507e-13,-2.50659646779726,-1.44181348800331,97.9783735137599,1.56562147861939,0.950769277303033,0.932876087877837,0.969005670109649,1.90912067443669e-07,0.941424224177502,0.904991184549103,0.979323981271471,0.00272228662178431
2334,SGK1,26941,-1.06201853449815,7.50824431113239e-07,-1.48271983078763,-0.641317238208677,97.0972793371565,0.952308945431762,0.934380483627217,0.899659533527018,0.970441434395374,0.000443171213283124,0.935710485852411,0.885633902222516,0.988618560261678,0.0178914410228581
2346,SIK2,26544,-0.635593028638472,3.58335148443483e-06,-0.904407867549858,-0.366778189727085,98.153350005611,0.397652929088165,0.855416032890972,0.796131617543587,0.91911509755718,2.02972484023101e-05,0.85584509399401,0.734798008442996,0.996832893526329,0.0454209978514172
2347,SIK3,30738,-0.499565078516474,2.5163741709208e-09,-0.663837826465726,-0.335292330567222,96.9679266787496,0.14772448218566,0.880452252313092,0.814568829249356,0.951664415292637,0.00133458972536568,0.856161574498457,0.764700376491775,0.958561894542968,0.00705623304702234
2454,SMAD4,10213,-0.36564369876271,7.15666959351032e-07,-0.510214879195067,-0.221072518330353,98.0042252105932,0.117034077143262,0.898327821821299,0.832539808736643,0.969314460389334,0.00572485215928269,0.857553643678098,0.740740975902671,0.992787324731729,0.0397003100741579
2513,STAT5B,16573,-0.531215740592167,5.82551348561136e-06,-0.760920090869221,-0.301511390315114,98.9844317495793,0.296881896845354,0.861998799065531,0.795145916138198,0.934472421362817,0.000311675291352476,0.816673487903296,0.703002680054681,0.948724101296823,0.00808973347088284
2742,VAMP2,9997,-0.846943137512832,4.44726102613651e-07,-1.17573348910825,-0.518152785917414,99.2955921658887,0.629340357136514,0.890701744667472,0.833554743866525,0.951766640153289,0.000623569490860863,0.865650498986191,0.761078907890224,0.984590137272765,0.0280643597829555
2774,XPA,3267,-0.392880821708073,9.25504635911308e-10,-0.518667022862634,-0.267094620553512,95.4310873199274,0.0816048406423884,0.884353554582767,0.817481752244264,0.956695617187904,0.00218779228694031,0.866155004462778,0.779756973808527,0.962126043056251,0.0073598464340488
