,idx,beta,pval,cilb,ciub,i2,tau2
BAX,10414,0.767701466351636,3.32907873859304e-15,0.576703140579247,0.958699792124024,96.0128844963149,0.19427348189014
SCN11A,27675,-2.0544810473563,3.62154747840609e-15,-2.56630461762771,-1.54265747708489,97.2014870043325,1.38746835253705
ADH1C,28675,-3.76839880181031,4.56724275750005e-15,-4.71068674940045,-2.82611085422017,98.3696335239636,4.7890171086243
PDE7B,27026,-1.4892299344822,6.62905740352896e-15,-1.86385467327353,-1.11460519569087,97.8438792997254,0.777085514957952
CDKN2A,27035,2.68609949920507,6.83252289680866e-15,2.01006357562807,3.36213542278206,97.9897024737645,2.5234412158757
TUBB3,3144,2.51025142757578,7.94581021858578e-15,1.87691939968396,3.1435834554676,94.6097941128762,2.1152226734867
TTK,1779,2.41925695535574,8.54614154469056e-15,1.80815637324529,3.03035753746619,98.1183420642356,2.05559129806565
CXCL12,27267,-2.22944160631427,8.76838559098802e-15,-2.79283160656119,-1.66605160606735,98.5778035108507,1.80971397947559
AURKB,29307,2.72033229287741,1.05663563261114e-14,2.03078468803692,3.40987989771789,98.0603281391463,2.58903200487764
POLA2,3810,0.721954830845249,1.15515178351618e-14,0.538685227453617,0.905224434236881,97.4872499048493,0.174727275689571
ATAD2,18452,1.2895917390454,1.18302941671128e-14,0.962097492830629,1.61708598526017,98.1935103076983,0.592611577455729
EZH2,13204,1.89849405467729,1.45622097041729e-14,1.41470468364478,2.38228342570981,98.6652619270193,1.31386252169201
CHEK1,3181,1.29714204411386,1.53525616077527e-14,0.966303035204499,1.62798105302322,98.5163929230639,0.611133676399732
PBK,1160,2.74949285758073,1.97517466689234e-14,2.04526622092747,3.45371949423399,97.6342423251211,2.65680027954731
GHR,27686,-2.1722738891359,2.39649584391009e-14,-2.73047365178905,-1.61407412648274,98.3640854053728,1.70673238933251
SCN7A,23482,-4.1009988513383,2.42713615256407e-14,-5.15504110422764,-3.04695659844897,98.8336815776012,6.46802924780415
DNMT1,18952,0.834532068191043,3.32610424132608e-14,0.618887616063654,1.05017652031843,97.2691173088792,0.255069260233052
PASK,13804,0.803233340851108,3.67550740164882e-14,0.595321221197092,1.01114546050512,94.8755778152725,0.222912834444013
PLK4,10017,1.43611522569958,5.50906923285946e-14,1.06177821960582,1.81045223179334,98.4817015648985,0.781330121469996
RARB,2467,-0.789107152343416,7.51907824768545e-14,-0.995916947280154,-0.582297357406679,92.2453274408642,0.19784376506964
FOS,19761,-1.83474934105362,8.71020101232819e-14,-2.31684943493642,-1.35264924717082,94.5362332705794,1.19616597586911
HIPK3,30335,-0.610876788289553,1.06114420365295e-13,-0.77195400831805,-0.449799568261055,95.915268238837,0.1402551935245
CES1,13689,-2.74314266420041,1.61386398438949e-13,-3.47191517487676,-2.01437015352405,97.7326297972951,2.81054782444086
AOX1,16776,-3.10777532160707,2.29444657712495e-13,-3.93871455506787,-2.27683608814626,98.6516766408976,3.82190797736268
KCND3,14521,-1.82212322543425,2.74813899789135e-13,-2.31092704824503,-1.33331940262348,97.7655046306967,1.28568850319153
PALB2,27456,0.528419870042118,3.17459450153615e-13,0.386287893339215,0.670551846745021,96.1382193322537,0.108339633824793
MIF,24141,0.813248266139497,3.57707073149799e-13,0.594019891449829,1.03247664082917,93.4366677528454,0.242626076851876
SELP,30645,-1.97420497790029,3.65105989070507e-13,-2.50659646779726,-1.44181348800331,97.9783735137599,1.56562147861939
RORA,12881,-0.954873506746626,3.9537027765516e-13,-1.21276002270734,-0.696986990785915,96.3429943236446,0.352373520617297
RRM2,7711,2.61918091387281,3.97287786967491e-13,1.91174440233087,3.32661742541475,98.1785874815733,2.75681456682377
ELAVL1,30858,0.319642829254065,4.12079086143053e-13,0.233248905311578,0.406036753196552,96.4472915196713,0.0385663885136774
CHRM2,13126,-4.47381679069119,4.1728565695209e-13,-5.68329564645075,-3.26433793493163,96.9459220223168,7.68886396683403
MMP13,16949,3.93337905131534,4.22246480380741e-13,2.86977055620437,4.99698754642631,92.754906311967,5.27938802514972
